eyes 眼睛视力
tomorrow 明天
within 在……之内
keep 保持
saying 说
wont 不会
written 写
bound 绑定
fear 害怕
fellow 同伴
impossible 不可能的
special 特别的
Fawn 小鹿
Irish 爱尔兰的
manner 方式
note 笔记
wanted 想要
write 写
Clarkson 克拉克森（姓氏）
boy 男孩
need 需要
replied 回答
wonder 想知道
open 打开
Street 街道
Treasury 财政部
afterwards 之后
bring 带来
further 进一步
large 大的
others 其他人
passed 通过
vote 投票
Indeed 的确
accept 接受
beginning 开始
itself 它自己
nearly 几乎
offer 提供
story 故事
town 城镇
ballot 投票
daughter 女儿
five 五
friendship 友谊
gave 给
law 法律
opportunity 机会
regard 尊重
you'll 你将
future 未来
met 遇见
opinion 意见
private 私人的
real 真实的
taking 拿
talking 谈论
Lauras 劳拉的（名字）
learned 学到
marriage 婚姻
telling 告诉
ten 十
I've 我已经
became 成为
difficulty 困难
generally 通常
hero 英雄
pretty 漂亮的
regarded 被视为
sometimes 有时
anxious 焦虑的
cause 原因
purpose 目的
show 展示
sister 姐妹
Daubeny 多比尼（姓氏）
Portman 波特曼（姓氏）
Standish 斯坦迪什（姓氏）
circumstances 情况
comfort 安慰
false 错误的
feet 脚
fortune 命运
knowing 知道
minutes 分钟
support 支持
week 周
wished 希望
Ministers 部长
Park 公园
very 非常
family 家庭
fashion 时尚
forward 向前
lost 失去
reply 回复
sent 发送
short 短的
Banner 横幅
England 英国
anybody 任何人
change 改变
danger 危险
kept 保持
meeting 会议
mother 母亲
near 接近
nevertheless 尽管如此
nobody 没有人
none 没有一个
prepared 准备好的
reading 阅读
refused 拒绝
Commons 公共
let 让
carry 携带
fool 傻瓜
horse 马
says 说
small 小的
thus 因此
turn 转向
across 穿过
answered 回答
conversation 对话
expected 预期
expressed 表达
honour 荣誉
knows 知道
lived 生活
nature 自然
opposition 反对
reached 到达
reference 参考
sake 缘故
sorry 抱歉
comes 来
easy 容易的
except 除了
legs 腿
lover 情人
man's 男人的
months 月份
welltodo 富裕的、富有的
welltrained 训练有素的
wellworn 用旧了的、破烂的
whereby 凭此；借以
wholl 谁将……
whos 谁是……
wished-for 渴望的
mans 人
months 月份
order 顺序、命令、订购等
quarrel 争吵、吵架
seems 似乎、好像
worse 更坏的、更差的、恶化
case 情况、案例、箱子
choose 选择
club 俱乐部、棍棒
fathers 父亲
fight 打架、战斗、斗争
public 公众的、公共的、公开的
ready 准备好的、乐意的
remain 剩余、留下、仍然是
settled 解决、定居、安定下来
whose 谁的
Mildmays （姓氏）米尔迪梅斯
Nothing 没有什么、没事
Thats 那是
arm 手臂、武器
asking 询问、要求
believed 相信
broken 破碎的、坏掉的
honest 诚实的
liberal 自由的、开明的、慷慨的
run 跑、经营、运转
bear 熊、忍受、承担
expect 期待、期望
gentlemen 绅士
giving 给予
ground 地面、土地、根据
ladies 女士
liked 喜欢
past 过去的、经过、超过
promise 承诺、诺言
sir 先生
six 六
spite 恶意、怨恨
English 英语、英国人、英国的
Monks 僧侣
dine 进餐、用餐
drawingroom 客厅、休息室
exactly 确切地、精确地
express 表达、快递、快车
fancy 想象、喜爱、奇特的
getting 得到
hundred 一百
intention 意图、目的
interest 兴趣、利益、利息
measure 测量、措施、程度
opened 打开
shilling 先令
Dr 博士、医生
Sir 先生、爵士
anger 愤怒、生气
anyone 任何人
black 黑色、黑人、黑色的
carriage 马车、运输、运费
hours 小时（hour 的复数形式）
immediately 立即、马上
profession 职业、专业、声明
rich 富有的、丰富的
